(Number of original powers   32768 )
(First point       1 )
(Last point   32768 )
(Rebin factor       0 )
(Number of rebinned powers   32767 )
(Number of Trafos   104.000 )
(Flux     78.34555050 )
(Average Poisson level      0.00000000 )
(Renormalization const   1.0000000     )
(Background rate  0.00000000     )
(Count rate per PCU   39.172775     )
(Count rate * VLE rate per PCU   3391.5210     )
       10.00000000        1.92273068        0.18853925
       10.06250000        2.38386464        0.23375717
       10.12500000        1.76670921        0.17324010
       10.18750000        1.91052055        0.18734194
       10.25000000        2.02126265        0.19820110
       10.31250000        1.92457438        0.18872005
       10.37500000        1.90063679        0.18637277
       10.43750000        2.05862999        0.20186529
       10.50000000        1.96619976        0.19280174
       10.56250000        2.11599040        0.20748994
       10.62500000        1.73829603        0.17045395
       10.68750000        2.11037827        0.20693962
       10.75000000        1.92182100        0.18845007
       10.81250000        1.74628937        0.17123777
       10.87500000        2.08946180        0.20488858
       10.93750000        1.99182022        0.19531403
       11.00000000        1.72016394        0.16867596
       11.06250000        2.12346292        0.20822266
       11.12500000        2.05582023        0.20158976
       11.18750000        2.23669100        0.21932560
       11.25000000        2.24909616        0.22054203
       11.31250000        1.91910481        0.18818371
       11.37500000        1.75982988        0.17256552
       11.43750000        1.74796808        0.17140238
       11.50000000        2.24913239        0.22054559
       11.56250000        1.89825618        0.18613933
       11.62500000        1.87916207        0.18426701
       11.68750000        1.88390803        0.18473238
       11.75000000        1.98885226        0.19502300
       11.81250000        2.05667806        0.20167388
       11.87500000        1.84852743        0.18126303
       11.93750000        1.66068459        0.16284353
       12.00000000        1.85847342        0.18223831
       12.06250000        2.19442582        0.21518114
       12.12500000        2.08326578        0.20428102
       12.18750000        2.07364964        0.20333807
       12.25000000        1.65549076        0.16233422
       12.31250000        1.74577785        0.17118761
       12.37500000        1.99222887        0.19535412
       12.43750000        1.98948228        0.19508480
       12.50000000        1.88574111        0.18491213
       12.56250000        1.77641606        0.17419194
       12.62500000        2.02657533        0.19872206
       12.68750000        2.23503160        0.21916288
       12.75000000        2.25750065        0.22136615
       12.81250000        1.99541485        0.19566654
       12.87500000        1.94989502        0.19120294
       12.93750000        1.76313376        0.17288949
       13.00000000        2.34859800        0.23029898
       13.06250000        2.01120019        0.19721439
       13.12500000        2.12739539        0.20860828
       13.18750000        1.89215219        0.18554078
       13.25000000        2.04907441        0.20092829
       13.31250000        2.03739071        0.19978260
       13.37500000        2.17943239        0.21371093
       13.43750000        1.85614347        0.18200985
       13.50000000        1.71895778        0.16855767
       13.56250000        1.89856029        0.18616915
       13.62500000        1.93426430        0.18967022
       13.68750000        2.11456490        0.20735015
       13.75000000        1.82013881        0.17847928
       13.81250000        2.20463228        0.21618198
       13.87500000        1.99952459        0.19606951
       13.93750000        1.82710779        0.17916267
       14.00000000        1.86914814        0.18328506
       14.06250000        2.00725889        0.19682792
       14.12500000        1.93240035        0.18948744
       14.18750000        2.33092833        0.22856633
       14.25000000        1.96381354        0.19256777
       14.31250000        2.23041248        0.21870995
       14.37500000        2.30617929        0.22613949
       14.43750000        2.19010115        0.21475710
       14.50000000        2.17931890        0.21369980
       14.56250000        2.34246373        0.22969747
       14.62500000        2.07108879        0.20308696
       14.68750000        2.26620650        0.22221984
       14.75000000        1.74703777        0.17131114
       14.81250000        1.78922033        0.17544748
       14.87500000        1.70948267        0.16762856
       14.93750000        1.93362498        0.18960753
       15.00000000        1.72138071        0.16879527
       15.06250000        1.90590274        0.18688914
       15.12500000        1.90097618        0.18640605
       15.18750000        1.98409164        0.19455621
       15.25000000        1.92184258        0.18845217
       15.31250000        1.93750525        0.18998803
       15.37500000        1.99060416        0.19519480
       15.43750000        2.28697300        0.22425614
       15.50000000        1.97134101        0.19330589
       15.56250000        1.92226195        0.18849328
       15.62500000        1.74930704        0.17153367
       15.68750000        1.99964702        0.19608153
       15.75000000        2.11130810        0.20703079
       15.81250000        2.04982162        0.20100155
       15.87500000        2.10762858        0.20666999
       15.93750000        2.41382289        0.23669481
       16.00000000        2.02600932        0.19866656
       16.06250000        1.86506605        0.18288477
       16.12500000        1.94064534        0.19029593
       16.18750000        1.99052191        0.19518672
       16.25000000        2.06622100        0.20260963
       16.31250000        1.99609268        0.19573300
       16.37500000        1.87151718        0.18351737
       16.43750000        2.32327390        0.22781576
       16.50000000        2.05824685        0.20182770
       16.56250000        2.08051515        0.20401129
       16.62500000        1.87211776        0.18357626
       16.68750000        1.65251946        0.16204287
       16.75000000        2.17277861        0.21305847
       16.81250000        1.91728139        0.18800491
       16.87500000        1.97820663        0.19397911
       16.93750000        2.09216475        0.20515363
       17.00000000        2.17968702        0.21373589
       17.06250000        2.26241493        0.22184803
       17.12500000        2.00230241        0.19634190
       17.18750000        2.00368547        0.19647752
       17.25000000        2.36131382        0.23154587
       17.31250000        2.28656244        0.22421589
       17.37500000        2.21517897        0.21721616
       17.43750000        1.95426512        0.19163147
       17.50000000        1.75385690        0.17197981
       17.56250000        2.11044526        0.20694619
       17.62500000        2.13208413        0.20906805
       17.68750000        1.91320598        0.18760529
       17.75000000        2.13619447        0.20947109
       17.81250000        2.18325925        0.21408619
       17.87500000        2.04178762        0.20021375
       17.93750000        2.20535636        0.21625298
       18.00000000        2.14183998        0.21002468
       18.06250000        1.99423039        0.19555038
       18.12500000        1.98876977        0.19501492
       18.18750000        2.40227818        0.23556277
       18.25000000        2.04226136        0.20026019
       18.31250000        1.79418969        0.17593478
       18.37500000        2.07292151        0.20326668
       18.43750000        2.22620344        0.21829721
       18.50000000        1.88373303        0.18471521
       18.56250000        1.61870027        0.15872662
       18.62500000        1.81686831        0.17815860
       18.68750000        2.06948638        0.20292982
       18.75000000        1.65203643        0.16199550
       18.81250000        2.18263245        0.21402472
       18.87500000        1.88770092        0.18510430
       18.93750000        2.37551951        0.23293886
       19.00000000        1.68359232        0.16508982
       19.06250000        2.09675455        0.20560369
       19.12500000        2.07748747        0.20371440
       19.18750000        2.14827442        0.21065563
       19.25000000        2.01143885        0.19723780
       19.31250000        2.17486596        0.21326314
       19.37500000        1.96650553        0.19283174
       19.43750000        2.06772256        0.20275688
       19.50000000        1.87241411        0.18360530
       19.56250000        1.56170154        0.15313743
       19.62500000        2.14082313        0.20992497
       19.68750000        2.02255726        0.19832805
       19.75000000        1.83805776        0.18023640
       19.81250000        1.95072770        0.19128458
       19.87500000        1.89070725        0.18539909
       19.93750000        1.66970181        0.16372775
       20.00000000        2.00926542        0.19702469
       20.06250000        2.11462617        0.20735615
       20.12500000        2.02214646        0.19828779
       20.18750000        2.01998568        0.19807591
       20.25000000        1.98468971        0.19461483
       20.31250000        1.85883391        0.18227366
       20.37500000        1.80611300        0.17710397
       20.43750000        2.00092745        0.19620708
       20.50000000        1.98966169        0.19510238
       20.56250000        2.23548698        0.21920753
       20.62500000        2.19431090        0.21516989
       20.68750000        1.86135316        0.18252070
       20.75000000        2.04029822        0.20006770
       20.81250000        1.86343122        0.18272446
       20.87500000        1.93224609        0.18947233
       20.93750000        2.13039732        0.20890266
       21.00000000        2.00534534        0.19664028
       21.06250000        2.22820592        0.21849357
       21.12500000        1.90174127        0.18648107
       21.18750000        2.15727592        0.21153831
       21.25000000        2.33319330        0.22878844
       21.31250000        1.80793571        0.17728268
       21.37500000        1.65396607        0.16218472
       21.43750000        2.09117270        0.20505635
       21.50000000        2.04467583        0.20049697
       21.56250000        1.81625867        0.17809881
       21.62500000        2.39129853        0.23448612
       21.68750000        2.12628150        0.20849904
       21.75000000        1.76183212        0.17276186
       21.81250000        2.20804262        0.21651639
       21.87500000        1.71834445        0.16849755
       21.93750000        2.07836223        0.20380019
       22.00000000        2.22766805        0.21844083
       22.06250000        1.85120118        0.18152522
       22.12500000        2.33485603        0.22895147
       22.18750000        2.00658512        0.19676186
       22.25000000        1.94188750        0.19041774
       22.31250000        2.06632948        0.20262027
       22.37500000        2.06191087        0.20218699
       22.43750000        1.85526037        0.18192324
       22.50000000        2.08263540        0.20421919
       22.56250000        2.26703668        0.22230124
       22.62500000        1.90762508        0.18705803
       22.68750000        1.92510772        0.18877235
       22.75000000        2.17082667        0.21286708
       22.81250000        1.90968955        0.18726046
       22.87500000        2.00959396        0.19705690
       22.93750000        2.24921322        0.22055350
       23.00000000        1.91129899        0.18741828
       23.06250000        2.10749435        0.20665683
       23.12500000        2.36712980        0.23211616
       23.18750000        1.87462735        0.18382233
       23.25000000        2.05801034        0.20180450
       23.31250000        2.15648508        0.21146075
       23.37500000        2.25985837        0.22159734
       23.43750000        2.01983094        0.19806072
       23.50000000        1.77146554        0.17370650
       23.56250000        1.81880260        0.17834827
       23.62500000        2.26163507        0.22177157
       23.68750000        2.06523490        0.20251295
       23.75000000        1.78701270        0.17523101
       23.81250000        1.69989395        0.16668831
       23.87500000        1.85929489        0.18231887
       23.93750000        1.97392929        0.19355968
       24.00000000        2.01496744        0.19758382
       24.06250000        2.46505952        0.24171898
       24.12500000        1.86702180        0.18307655
       24.18750000        1.68529880        0.16525714
       24.25000000        2.00428724        0.19653654
       24.31250000        2.17497420        0.21327376
       24.37500000        1.99197602        0.19532932
       24.43750000        2.16728473        0.21251975
       24.50000000        1.77875078        0.17442086
       24.56250000        1.68471706        0.16520010
       24.62500000        1.88765538        0.18509984
       24.68750000        2.44104147        0.23936382
       24.75000000        2.02769756        0.19883211
       24.81250000        2.24761510        0.22039679
       24.87500000        2.29295993        0.22484323
       24.93750000        1.97787499        0.19394660
       25.00000000        1.87188315        0.18355323
       25.06250000        2.05854726        0.20185716
       25.12500000        1.97567737        0.19373110
       25.18750000        1.78387094        0.17492294
       25.25000000        2.07014298        0.20299421
       25.31250000        2.33368540        0.22883669
       25.37500000        1.99880922        0.19599937
       25.43750000        2.00328231        0.19643800
       25.50000000        1.92156386        0.18842484
       25.56250000        1.94090033        0.19032094
       25.62500000        1.80955338        0.17744130
       25.68750000        2.08111072        0.20406969
       25.75000000        1.89026141        0.18535540
       25.81250000        2.13739729        0.20958903
       25.87500000        2.12312078        0.20818911
       25.93750000        1.99242234        0.19537307
       26.00000000        2.52385855        0.24748468
       26.06250000        2.05636835        0.20164350
       26.12500000        1.77543664        0.17409588
       26.18750000        2.07292676        0.20326719
       26.25000000        2.02129316        0.19820410
       26.31250000        1.88517010        0.18485615
       26.37500000        2.10797739        0.20670420
       26.43750000        2.01441431        0.19752957
       26.50000000        2.20941687        0.21665114
       26.56250000        2.44646192        0.23989533
       26.62500000        2.19972897        0.21570118
       26.68750000        2.00354290        0.19646356
       26.75000000        1.93361092        0.18960616
       26.81250000        2.55333495        0.25037509
       26.87500000        2.32108831        0.22760144
       26.93750000        2.23787332        0.21944155
       27.00000000        1.99116158        0.19524947
       27.06250000        1.79087198        0.17560944
       27.12500000        2.29015636        0.22456831
       27.18750000        1.91040170        0.18733031
       27.25000000        2.23905277        0.21955720
       27.31250000        2.07010746        0.20299074
       27.37500000        2.10119963        0.20603958
       27.43750000        1.96828055        0.19300579
       27.50000000        1.90538645        0.18683852
       27.56250000        1.91161799        0.18744956
       27.62500000        2.28329134        0.22389513
       27.68750000        1.98867285        0.19500542
       27.75000000        1.97231531        0.19340143
       27.81250000        1.87492120        0.18385115
       27.87500000        1.99758911        0.19587973
       27.93750000        2.13388801        0.20924494
       28.00000000        1.81418145        0.17789513
       28.06250000        2.05737090        0.20174183
       28.12500000        2.17427301        0.21320501
       28.18750000        1.88059151        0.18440717
       28.25000000        1.93423057        0.18966691
       28.31250000        2.19095302        0.21484062
       28.37500000        2.08315158        0.20426981
       28.43750000        2.02899122        0.19895896
       28.50000000        2.25133729        0.22076178
       28.56250000        2.19068551        0.21481439
       28.62500000        1.91802812        0.18807814
       28.68750000        1.95636356        0.19183724
       28.75000000        1.99148500        0.19528118
       28.81250000        1.81799769        0.17826936
       28.87500000        1.69309783        0.16602190
       28.93750000        1.83085442        0.17953005
