(Number of original powers   32768 )
(First point       1 )
(Last point   32768 )
(Rebin factor       0 )
(Number of rebinned powers   32767 )
(Number of Trafos   109.000 )
(Flux   1438.32458000 )
(Average Poisson level      0.00000000 )
(Renormalization const   1.0000000     )
(Background rate  0.00000000     )
(Count rate per PCU   719.16229     )
(Count rate * VLE rate per PCU   62210.086     )
       10.00000000        2.00351644        0.19190207
       10.06250000        1.66977739        0.15993567
       10.12500000        2.26622963        0.21706542
       10.18750000        1.97183275        0.18886733
       10.25000000        1.87955260        0.18002850
       10.31250000        2.07529998        0.19877769
       10.37500000        1.83316743        0.17558560
       10.43750000        2.16943717        0.20779440
       10.50000000        1.85341346        0.17752481
       10.56250000        1.88957584        0.18098854
       10.62500000        1.82327986        0.17463854
       10.68750000        2.15452385        0.20636596
       10.75000000        2.07116604        0.19838174
       10.81250000        2.00994062        0.19251740
       10.87500000        1.93445718        0.18528739
       10.93750000        1.92303705        0.18419355
       11.00000000        1.98938870        0.19054888
       11.06250000        2.05736065        0.19705942
       11.12500000        2.08022332        0.19924927
       11.18750000        2.05984354        0.19729723
       11.25000000        2.01512766        0.19301423
       11.31250000        1.93614149        0.18544872
       11.37500000        2.32944584        0.22312045
       11.43750000        2.19662023        0.21039806
       11.50000000        2.26392746        0.21684493
       11.56250000        2.33539510        0.22369027
       11.62500000        1.71882117        0.16463321
       11.68750000        1.71737421        0.16449460
       11.75000000        2.43912101        0.23362543
       11.81250000        1.94276094        0.18608275
       11.87500000        2.25055838        0.21556440
       11.93750000        2.19973946        0.21069683
       12.00000000        2.18589330        0.20937060
       12.06250000        2.11507344        0.20258731
       12.12500000        1.96598482        0.18830720
       12.18750000        1.72292554        0.16502634
       12.25000000        1.91910660        0.18381709
       12.31250000        2.24817109        0.21533574
       12.37500000        1.93659794        0.18549244
       12.43750000        1.87594211        0.17968267
       12.50000000        1.94270658        0.18607754
       12.56250000        2.06168103        0.19747323
       12.62500000        1.51310647        0.14492932
       12.68750000        2.25080967        0.21558848
       12.75000000        1.72670758        0.16538860
       12.81250000        1.85264111        0.17745085
       12.87500000        2.12863922        0.20388666
       12.93750000        2.10691309        0.20180568
       13.00000000        2.20970368        0.21165124
       13.06250000        2.14838123        0.20577760
       13.12500000        2.20585394        0.21128249
       13.18750000        1.85974526        0.17813130
       13.25000000        2.22885251        0.21348535
       13.31250000        2.02043438        0.19352251
       13.37500000        2.01113844        0.19263214
       13.43750000        1.84456742        0.17667751
       13.50000000        2.09535074        0.20069821
       13.56250000        2.02091336        0.19356839
       13.62500000        1.92888272        0.18475345
       13.68750000        1.93275106        0.18512398
       13.75000000        2.08666205        0.19986597
       13.81250000        1.69131553        0.16199864
       13.87500000        2.08374286        0.19958638
       13.93750000        2.07830667        0.19906567
       14.00000000        2.18017721        0.20882311
       14.06250000        1.76999485        0.16953477
       14.12500000        2.11405110        0.20248938
       14.18750000        1.50435472        0.14409105
       14.25000000        2.14843965        0.20578320
       14.31250000        1.67731130        0.16065729
       14.37500000        2.04026937        0.19542238
       14.43750000        2.25273943        0.21577331
       14.50000000        1.86113000        0.17826392
       14.56250000        1.95799661        0.18754207
       14.62500000        2.17225862        0.20806465
       14.68750000        1.88797379        0.18083510
       14.75000000        2.06276798        0.19757734
       14.81250000        1.85558498        0.17773281
       14.87500000        1.99178708        0.19077861
       14.93750000        2.27126384        0.21754763
       15.00000000        2.11522484        0.20260179
       15.06250000        1.95189631        0.18695778
       15.12500000        1.82640064        0.17493746
       15.18750000        2.20156264        0.21087146
       15.25000000        1.73789513        0.16646016
       15.31250000        1.77220404        0.16974637
       15.37500000        2.01311636        0.19282158
       15.43750000        2.12726045        0.20375460
       15.50000000        1.74526286        0.16716586
       15.56250000        2.17484355        0.20831224
       15.62500000        2.23827696        0.21438806
       15.68750000        2.36869192        0.22687954
       15.75000000        1.94007647        0.18582563
       15.81250000        1.89849043        0.18184240
       15.87500000        1.98154104        0.18979722
       15.93750000        2.08100438        0.19932407
       16.00000000        1.88580096        0.18062699
       16.06250000        2.03213978        0.19464369
       16.12500000        2.00512624        0.19205627
       16.18750000        1.93748748        0.18557766
       16.25000000        2.19782901        0.21051385
       16.31250000        1.65832746        0.15883897
       16.37500000        2.28559947        0.21892074
       16.43750000        2.11511803        0.20259157
       16.50000000        1.96436214        0.18815178
       16.56250000        1.93154514        0.18500848
       16.62500000        1.90580904        0.18254340
       16.68750000        1.93985319        0.18580425
       16.75000000        2.12021136        0.20307942
       16.81250000        1.64514792        0.15757659
       16.87500000        1.78843462        0.17130098
       16.93750000        1.90875471        0.18282555
       17.00000000        1.82664990        0.17496133
       17.06250000        2.05585146        0.19691487
       17.12500000        1.78739798        0.17120168
       17.18750000        1.94701314        0.18649003
       17.25000000        2.14273620        0.20523691
       17.31250000        1.84234142        0.17646430
       17.37500000        1.90871370        0.18282162
       17.43750000        1.99591660        0.19117415
       17.50000000        1.71369755        0.16414244
